"","Questionnaire.ITEM","Variable.name","fldResponseID","fldSkipTo","item1","item2","pattern","SP Public File","OP Public File","Tracker File","Restricted (R) or Sensitive (S) Variable","Not on File","if_col","if_col1","if_col2","go_col","final_col","id_go","name_go","id_final","name_final","priorvariable","skipPrior","minus1Target","Resid1Inaplicable","skippedResid","skippedbyBoth","skippedbyBothFinal","boxText"
"30","HC5_2","hc1brokebon2",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"31","HC5_2","hc1brokebon2",2,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"32","HC6","hc1serdisill",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"33","HC6","hc1serdisill",2,"HC7","HC6=2",NA,"HC6=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,4,NA
"34","HC6A",NA,NA,NA,"HC6=2",NA,"HC6=2",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,4,NA
"35","HC7","hc1hosptstay",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"36","HC7","hc1hosptstay",2,"HC9PRE","HC7=2",NA,"HC7=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,4,NA
"37","HC8","hc1hosovrnht",NA,NA,"HC7=2",NA,"HC7=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1hosptstay","-8,-7,2","-1","1, 2",1,0,2,NA
"38","HC9PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"39","HC9A","hc1kneesurg",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"40","HC9A","hc1kneesurg",2,"HC10A",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"41","HC9B","hc1knesrgyr",1,"HC10A","HC9A=2",NA,"HC9A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1kneesurg","-8,2","-1","1, 2",1,0,2,NA
"42","HC9B","hc1knesrgyr",2,NA,"HC9A=2",NA,"HC9A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1kneesurg","-8,2","-1","1, 2",1,0,2,NA
"43","HC9C","hc1ageknesur",NA,NA,"HC9A=2","HC9B=1","HC9A=2,HC9B=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1knesrgyr","-8,1","-1","1, 2",1,0,2,NA
"44","HC10A","hc1hipsurg",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"45","HC10A","hc1hipsurg",2,"HC11A",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"46","HC10B","hc1hipsrgyr",1,"HC11A","HC10A=2",NA,"HC10A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1hipsurg","-8,2","-1","1, 2",1,0,2,NA
"47","HC10B","hc1hipsrgyr",2,NA,"HC10A=2",NA,"HC10A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1hipsurg","-8,2","-1","1, 2",1,0,2,NA
"48","HC10C","hc1agehipsur",NA,NA,"HC10A=2","HC10B=1","HC10A=2,HC10B=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1hipsrgyr","-8,1","-1","1, 2",1,0,2,NA
"49","HC11A","hc1catarsurg",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"50","HC11A","hc1catarsurg",2,"HC12A",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"51","HC11B","hc1catrsrgyr",1,"HC12A","HC11A=2",NA,"HC11A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1catarsurg","-8,2","-1","1, 2",1,0,2,NA
"52","HC11B","hc1catrsrgyr",2,NA,"HC11A=2",NA,"HC11A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1catarsurg","-8,2","-1","1, 2",1,0,2,NA
"53","HC11C","hc1agecatsur",NA,NA,"HC11A=2","HC11B=1","HC11A=2,HC11B=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1catrsrgyr","-8,1","-1","1, 2",1,0,2,NA
"54","HC12A","hc1bckspnsur",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"55","HC12A","hc1bckspnsur",2,"HC13A",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"56","HC12B","hc1backsrgyr",1,"HC13A","HC12A=2",NA,"HC12A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1bckspnsur","-8,2","-1","1, 2",1,0,2,NA
"57","HC12B","hc1backsrgyr",2,NA,"HC12A=2",NA,"HC12A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1bckspnsur","-8,2","-1","1, 2",1,0,2,NA
"58","HC12C","hc1agebcksrg",NA,NA,"HC12A=2","HC12B=1","HC12A=2,HC12B=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1backsrgyr","-1,1","-1","1, 2",1,0,2,NA
"59","HC13A","hc1heartsurg",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"60","HC13A","hc1heartsurg",2,"HC14PRE",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"61","HC13B","hc1hartsrgyr",1,"HC14PRE","HC13A=2",NA,"HC13A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1heartsurg","-8,2","-1","1, 2",1,0,2,NA
"62","HC13B","hc1hartsrgyr",2,NA,"HC13A=2",NA,"HC13A=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1heartsurg","-8,2","-1","1, 2",1,0,2,NA
"63","HC13C","hc1agehrtsrg",NA,NA,"HC13A=2","HC13B=1","HC13A=2,HC13B=1","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1hartsrgyr","-8,1","-1","1, 2",1,0,2,NA
"64","HC14PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"65","HC14","hc1fllsinmth",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"66","HC14","hc1fllsinmth",2,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"67","HC15","hc1worryfall",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"68","HC15","hc1worryfall",2,"BOX HC17",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"69","HC16","hc1worrylimt",1,NA,"HC15=2",NA,"HC15=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1worryfall","-8,2","-1","1, 2",1,0,2,NA
"70","HC16","hc1worrylimt",2,NA,"HC15=2",NA,"HC15=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1worryfall","-8,2","-1","1, 2",1,0,2,NA
"71","BOX HC17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HC14 = 1","HC14","1","HC18","HC17",38,"hc1multifall",37,"hc1faleninyr",NA,NA,NA,NA,0,0,3,"If HC14 = 1 (YES), go to HC18.
Otherwise, go to HC17."
"72","HC17","hc1faleninyr",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,1,NA
"73","HC17","hc1faleninyr",2,"HC19",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2",1,0,1,NA
"74","HC18","hc1multifall",1,NA,"HC17=2",NA,"HC17=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1faleninyr","-8,-7,2","-1","1, 2",1,0,2,NA
"75","HC18","hc1multifall",2,NA,"HC17=2",NA,"HC17=2","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hc1faleninyr","-8,-7,2","-1","1, 2",1,0,2,NA
"76","HC19",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"77","HC19",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"78","HC19",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"79","HC19",NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"80","HC20PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA
"81","HC20","hc1aslep30mn",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"82","HC20","hc1aslep30mn",2,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"83","HC20","hc1aslep30mn",3,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"84","HC20","hc1aslep30mn",4,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"85","HC20","hc1aslep30mn",5,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"86","HC21","hc1trbfalbck",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"87","HC21","hc1trbfalbck",2,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"88","HC21","hc1trbfalbck",3,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"89","HC21","hc1trbfalbck",4,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"90","HC21","hc1trbfalbck",5,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"91","HC21","hc1trbfalbck",7,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"92","HC22","hc1sleepmed",1,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"93","HC22","hc1sleepmed",2,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"94","HC22","hc1sleepmed",3,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"95","HC22","hc1sleepmed",4,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
"96","HC22","hc1sleepmed",5,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," ",0,0,3,NA
