,fldSectionID,Questionnaire.ITEM,Variable.name,fldResponsesID,skipbyResID,AdditionalSkipByResID,skipbyResIDPattern,simpleBoxSkip,text,,,,,,,,,,,,
29,HC,HC6A,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
30,HC,HC7,hc1hosptstay,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
31,HC,HC7,hc1hosptstay,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
32,HC,HC8,hc1hosovrnht,NA,1,1,0,,"resid=4 or HC7=-8,-7,2",,,,,,,,,,,,
33,HC,HC9PRE,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
34,HC,HC9A,hc1kneesurg,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
35,HC,HC9B,hc1knesrgyr,"1,2",1,1,0,,"resid=4 or HC9A=-8,2",,,,,,,,,,,,
36,HC,HC9C,hc1ageknesur,NA,1,1,0,,"resid=4 or HC9A=2 or HC9B=-8,1",,,,,,,,,,,,
37,HC,HC10A,hc1hipsurg,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
38,HC,HC10B,hc1hipsrgyr,"1,2",1,1,0,,"resid=4 or HC10A=-8,2",,,,,,,,,,,,
39,HC,HC10C,hc1agehipsur,NA,1,1,0,,"resid=4 or HC10A=2,HC10B=-8,1",,,,,,,,,,,,
40,HC,HC11A,hc1catarsurg,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
41,HC,HC11B,hc1catrsrgyr,"1,2",1,1,0,,"resid=4 or HC11A=-8,2",,,,,,,,,,,,
42,HC,HC11C,hc1agecatsur,NA,1,1,0,,"resid=4 or HC11A=2,HC11B=-8,1",,,,,,,,,,,,
43,HC,HC12A,hc1bckspnsur,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
44,HC,HC12B,hc1backsrgyr,"1,2",1,1,0,,"resid=4 or HC12A=-8,2",,,,,,,,,,,,
45,HC,HC12C,hc1agebcksrg,NA,1,1,0,,"resid=4 or HC12A=2,HC12B=-1,1",,,,,,,,,,,,
46,HC,HC13A,hc1heartsurg,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
47,HC,HC13B,hc1hartsrgyr,"1,2",1,1,0,,"resid=4 or HC13A=-8,2",,,,,,,,,,,,
48,HC,HC13C,hc1agehrtsrg,NA,1,1,0,,"resid=4 or HC13A=2,HC13B=-8,1",,,,,,,,,,,,
49,HC,HC14PRE,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
50,HC,HC14,hc1fllsinmth,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
51,HC,HC15,hc1worryfall,"1,2",1,0,0,,resid=4,,,,,,,,,,,,
52,HC,HC16,hc1worrylimt,"1,2",1,1,0,,"resid=4 or HC15=-8,2",,,,,,,,,,,,
53,HC,BOX HC17,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
54,HC,HC17,hc1faleninyr,"1,2",1,1,1,,resid=4,,,,,,,,,,,,
55,HC,HC18,hc1multifall,"1,2",1,1,0,,"resid=4 or HC17=-8,-7,2",,,,,,,,,,,,
56,HC,HC19,NA,"1,2,3,4",NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
57,HC,HC20PRE,NA,NA,NA,NA,NA,,FileNotinSP,,,,,,,,,,,,
58,HC,HC20,hc1aslep30mn,"1,2,3,4,5",1,0,0,,resid=4,,,,,,,,,,,,
59,HC,HC21,hc1trbfalbck,"1,2,3,4,5,7",1,0,0,,resid=4,,,,,,,,,,,,
60,HC,HC22,hc1sleepmed,"1,2,3,4,5",1,0,0,,resid=4,,,,,,,,,,,,
