"round1Inaplicable","OtherSkip2","round","label"
"1, 2, 4, 6, 8","1, 2, 4",10,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",10,"multifall"
"6, 8","",10,"depresan1"
"6, 8","",10,"depresan2"
"6, 8","",10,"depresan3"
"6, 8","",10,"depresan4"
"6, 8","",10,"aslep30mn"
"6, 8","",10,"trbfalbck"
"6, 8","",10,"sleepmed"
"6, 8","",11,"health"
"6, 8","",11,"disescn1"
"6, 8","",11,"disescn2"
"6, 8","",11,"disescn3"
"6, 8","",11,"disescn4"
"6, 8","",11,"disescn5"
"6, 8","",11,"disescn6"
"6, 8","",11,"disescn7"
"6, 8","",11,"disescn8"
"6, 8","",11,"disescn9"
"6, 8","",11,"disescn10"
"1, 2, 4, 6, 8","1, 2",11,"cancerty1"
"6, 8","",11,"brokebon1"
"6, 8","",11,"brokebon2"
"6, 8","",11,"coviddoc"
"6, 8","",11,"covidtest"
"1, 2, 4, 6, 8","1, 2, 4",11,"positive"
"6, 8","",11,"symptoms"
"1, 2, 4, 6, 8","1, 2, 4",11,"symplvl"
"1, 2, 4, 6, 8","1, 2, 4",11,"effects"
"1, 2, 4, 6, 8","1, 2, 4",11,"effectslen"
"6, 8","",11,"vaccine"
"1, 2, 4, 6, 8","1, 2, 4",11,"vaccinemth"
"1, 2, 4, 6, 8","1, 2, 4",11,"vaccinetry"
"6, 8","",11,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",11,"hosovrnht"
"6, 8","",11,"knesrgyr"
"6, 8","",11,"hipsrgyr"
"6, 8","",11,"catrsrgyr"
"6, 8","",11,"backsrgyr"
"6, 8","",11,"hartsrgyr"
"6, 8","",11,"fllsinmth"
"6, 8","",11,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",11,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",11,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",11,"multifall"
"6, 8","",11,"depresan1"
"6, 8","",11,"depresan2"
"6, 8","",11,"depresan3"
"6, 8","",11,"depresan4"
"6, 8","",11,"aslep30mn"
"6, 8","",11,"trbfalbck"
"6, 8","",11,"sleepmed"
"6, 8","",12,"health"
"6, 8","",12,"disescn1"
"6, 8","",12,"disescn2"
"6, 8","",12,"disescn3"
"6, 8","",12,"disescn4"
"6, 8","",12,"disescn5"
"6, 8","",12,"disescn6"
"6, 8","",12,"disescn7"
"6, 8","",12,"disescn8"
"6, 8","",12,"disescn9"
"6, 8","",12,"disescn10"
"1, 2, 4, 6, 8","1, 2, 4",12,"cancerty1"
"1, 2, 4, 6, 8","1, 2",12,"dementage"
"6, 8","",12,"brokebon1"
"6, 8","",12,"brokebon2"
"6, 8","",12,"coviddoc"
"6, 8","",12,"covidtest"
"1, 2, 4, 6, 8","1, 2, 4",12,"positive"
"6, 8","",12,"symptoms"
"1, 2, 4, 6, 8","1, 2",12,"sympyr"
"1, 2, 4, 6, 8","1, 2, 4",12,"symplvl"
"1, 2, 4, 6, 8","1, 2, 4",12,"effects"
"1, 2, 4, 6, 8","1, 2, 4",12,"effectslen"
"1, 2, 4, 6, 8","1, 2, 4",12,"effects2mo"
"1, 2, 4, 6, 8","1, 2, 4",12,"vaccine"
"1, 2, 4, 6, 8","1, 2, 4",12,"vaccinemth"
"1, 2, 4, 6, 8","1, 2, 4",12,"vaccineyr"
"1, 2, 4, 6, 8","1, 2, 4",12,"vaccinetry"
"1, 2, 4, 6, 8","1, 2, 4",12,"booster"
"1, 2, 4, 6, 8","1, 2, 4",12,"boostermth"
"1, 2, 4, 6, 8","1, 2, 4",12,"boosteryr"
"1, 2, 4, 6, 8","1, 2",12,"serdisill"
"6, 8","",12,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",12,"hosovrnht"
"1, 2, 4, 6, 8","1, 2",12,"kneesurg"
"1, 2, 6, 8","1, 2",12,"knesrgyr"
"1, 2, 4, 6, 8","1, 2",12,"ageknesur"
"1, 2, 4, 6, 8","1, 2",12,"hipsurg"
"1, 2, 6, 8","1, 2",12,"hipsrgyr"
"1, 2, 4, 6, 8","1, 2",12,"agehipsur"
"1, 2, 4, 6, 8","1, 2",12,"catarsurg"
"1, 2, 6, 8","1, 2",12,"catrsrgyr"
"1, 2, 4, 6, 8","1, 2",12,"agecatsur"
"1, 2, 4, 6, 8","1, 2",12,"bckspnsur"
"1, 2, 6, 8","1, 2",12,"backsrgyr"
"1, 2, 4, 6, 8","1, 2",12,"agebcksrg"
"1, 2, 4, 6, 8","1, 2",12,"heartsurg"
"1, 2, 6, 8","1, 2",12,"hartsrgyr"
"1, 2, 4, 6, 8","1, 2",12,"agehrtsrg"
"6, 8","",12,"fllsinmth"
"6, 8","",12,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",12,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",12,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",12,"multifall"
"6, 8","",12,"depresan1"
"6, 8","",12,"depresan2"
"6, 8","",12,"depresan3"
"6, 8","",12,"depresan4"
"6, 8","",12,"aslep30mn"
"6, 8","",12,"trbfalbck"
"6, 8","",12,"sleepmed"
"6, 8","",2,"health"
"6, 8","",2,"disescn1"
"6, 8","",2,"disescn2"
"6, 8","",2,"disescn3"
"6, 8","",2,"disescn4"
"6, 8","",2,"disescn5"
"6, 8","",2,"disescn6"
"6, 8","",2,"disescn7"
"6, 8","",2,"disescn8"
"6, 8","",2,"disescn9"
"6, 8","",2,"disescn10"
"6, 8","",2,"brokebon1"
"6, 8","",2,"brokebon2"
"6, 8","",2,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",2,"hosovrnht"
"6, 8","",2,"knesrgyr"
"6, 8","",2,"hipsrgyr"
"6, 8","",2,"catrsrgyr"
"6, 8","",2,"backsrgyr"
"6, 8","",2,"hartsrgyr"
"6, 8","",2,"fllsinmth"
"6, 8","",2,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",2,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",2,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",2,"multifall"
"6, 8","",2,"depresan1"
"6, 8","",2,"depresan2"
"6, 8","",2,"depresan3"
"6, 8","",2,"depresan4"
"6, 8","",2,"aslep30mn"
"6, 8","",2,"trbfalbck"
"6, 8","",2,"sleepmed"
"6, 8","",3,"health"
"6, 8","",3,"disescn1"
"6, 8","",3,"disescn2"
"6, 8","",3,"disescn3"
"6, 8","",3,"disescn4"
"6, 8","",3,"disescn5"
"6, 8","",3,"disescn6"
"6, 8","",3,"disescn7"
"6, 8","",3,"disescn8"
"6, 8","",3,"disescn9"
"6, 8","",3,"disescn10"
"6, 8","",3,"brokebon1"
"6, 8","",3,"brokebon2"
"6, 8","",3,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",3,"hosovrnht"
"6, 8","",3,"knesrgyr"
"6, 8","",3,"hipsrgyr"
"6, 8","",3,"catrsrgyr"
"6, 8","",3,"backsrgyr"
"6, 8","",3,"hartsrgyr"
"6, 8","",3,"fllsinmth"
"6, 8","",3,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",3,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",3,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",3,"multifall"
"6, 8","",3,"depresan1"
"6, 8","",3,"depresan2"
"6, 8","",3,"depresan3"
"6, 8","",3,"depresan4"
"6, 8","",3,"aslep30mn"
"6, 8","",3,"trbfalbck"
"6, 8","",3,"sleepmed"
"6, 8","",4,"health"
"6, 8","",4,"disescn1"
"6, 8","",4,"disescn2"
"6, 8","",4,"disescn3"
"6, 8","",4,"disescn4"
"6, 8","",4,"disescn5"
"6, 8","",4,"disescn6"
"6, 8","",4,"disescn7"
"6, 8","",4,"disescn8"
"6, 8","",4,"disescn9"
"6, 8","",4,"disescn10"
"1, 2, 4, 6, 8","1, 2, 4",4,"cancerty1"
"6, 8","",4,"brokebon1"
"6, 8","",4,"brokebon2"
"6, 8","",4,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",4,"hosovrnht"
"6, 8","",4,"knesrgyr"
"6, 8","",4,"hipsrgyr"
"6, 8","",4,"catrsrgyr"
"6, 8","",4,"backsrgyr"
"6, 8","",4,"hartsrgyr"
"6, 8","",4,"fllsinmth"
"6, 8","",4,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",4,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",4,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",4,"multifall"
"6, 8","",4,"depresan1"
"6, 8","",4,"depresan2"
"6, 8","",4,"depresan3"
"6, 8","",4,"depresan4"
"6, 8","",4,"aslep30mn"
"6, 8","",4,"trbfalbck"
"6, 8","",4,"sleepmed"
"6, 8","",5,"health"
"6, 8","",5,"disescn1"
"6, 8","",5,"disescn2"
"6, 8","",5,"disescn3"
"6, 8","",5,"disescn4"
"6, 8","",5,"disescn5"
"6, 8","",5,"disescn6"
"6, 8","",5,"disescn7"
"6, 8","",5,"disescn8"
"6, 8","",5,"disescn9"
"6, 8","",5,"disescn10"
"1, 2, 4, 6, 8","1, 2, 4",5,"cancerty1"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"dementage"
"6, 8","",5,"brokebon1"
"6, 8","",5,"brokebon2"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"serdisill"
"6, 8","",5,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",5,"hosovrnht"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"kneesurg"
"1, 2, 6, 8","1, 2",5,"knesrgyr"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"ageknesur"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"hipsurg"
"1, 2, 6, 8","1, 2",5,"hipsrgyr"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"agehipsur"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"catarsurg"
"1, 2, 6, 8","1, 2",5,"catrsrgyr"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"agecatsur"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"bckspnsur"
"1, 2, 6, 8","1, 2",5,"backsrgyr"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"agebcksrg"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"heartsurg"
"1, 2, 6, 8","1, 2",5,"hartsrgyr"
"1, 2, 3, 4, 5, 6, 7, 8","1, 2, 7",5,"agehrtsrg"
"6, 8","",5,"fllsinmth"
"6, 8","",5,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",5,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",5,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",5,"multifall"
"6, 8","",5,"depresan1"
"6, 8","",5,"depresan2"
"6, 8","",5,"depresan3"
"6, 8","",5,"depresan4"
"6, 8","",5,"aslep30mn"
"6, 8","",5,"trbfalbck"
"6, 8","",5,"sleepmed"
"6, 8","",6,"health"
"6, 8","",6,"disescn1"
"6, 8","",6,"disescn2"
"6, 8","",6,"disescn3"
"6, 8","",6,"disescn4"
"6, 8","",6,"disescn5"
"6, 8","",6,"disescn6"
"6, 8","",6,"disescn7"
"6, 8","",6,"disescn8"
"6, 8","",6,"disescn9"
"6, 8","",6,"disescn10"
"1, 2, 4, 6, 8","1, 2, 4",6,"cancerty1"
"6, 8","",6,"brokebon1"
"6, 8","",6,"brokebon2"
"6, 8","",6,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",6,"hosovrnht"
"6, 8","",6,"knesrgyr"
"6, 8","",6,"hipsrgyr"
"6, 8","",6,"catrsrgyr"
"6, 8","",6,"backsrgyr"
"6, 8","",6,"hartsrgyr"
"6, 8","",6,"fllsinmth"
"6, 8","",6,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",6,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",6,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",6,"multifall"
"6, 8","",6,"depresan1"
"6, 8","",6,"depresan2"
"6, 8","",6,"depresan3"
"6, 8","",6,"depresan4"
"6, 8","",6,"aslep30mn"
"6, 8","",6,"trbfalbck"
"6, 8","",6,"sleepmed"
"6, 8","",7,"health"
"6, 8","",7,"disescn1"
"6, 8","",7,"disescn2"
"6, 8","",7,"disescn3"
"6, 8","",7,"disescn4"
"6, 8","",7,"disescn5"
"6, 8","",7,"disescn6"
"6, 8","",7,"disescn7"
"6, 8","",7,"disescn8"
"6, 8","",7,"disescn9"
"6, 8","",7,"disescn10"
"1, 2, 4, 6, 8","1, 2, 4",7,"cancerty1"
"6, 8","",7,"brokebon1"
"6, 8","",7,"brokebon2"
"6, 8","",7,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",7,"hosovrnht"
"6, 8","",7,"knesrgyr"
"6, 8","",7,"hipsrgyr"
"6, 8","",7,"catrsrgyr"
"6, 8","",7,"backsrgyr"
"6, 8","",7,"hartsrgyr"
"6, 8","",7,"fllsinmth"
"6, 8","",7,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",7,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",7,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",7,"multifall"
"6, 8","",7,"depresan1"
"6, 8","",7,"depresan2"
"6, 8","",7,"depresan3"
"6, 8","",7,"depresan4"
"6, 8","",7,"aslep30mn"
"6, 8","",7,"trbfalbck"
"6, 8","",7,"sleepmed"
"6, 8","",8,"health"
"6, 8","",8,"disescn1"
"6, 8","",8,"disescn2"
"6, 8","",8,"disescn3"
"6, 8","",8,"disescn4"
"6, 8","",8,"disescn5"
"6, 8","",8,"disescn6"
"6, 8","",8,"disescn7"
"6, 8","",8,"disescn8"
"6, 8","",8,"disescn9"
"6, 8","",8,"disescn10"
"1, 2, 4, 6, 8","1, 2, 4",8,"cancerty1"
"6, 8","",8,"brokebon1"
"6, 8","",8,"brokebon2"
"6, 8","",8,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",8,"hosovrnht"
"6, 8","",8,"knesrgyr"
"6, 8","",8,"hipsrgyr"
"6, 8","",8,"catrsrgyr"
"6, 8","",8,"backsrgyr"
"6, 8","",8,"hartsrgyr"
"6, 8","",8,"fllsinmth"
"6, 8","",8,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",8,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",8,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",8,"multifall"
"6, 8","",8,"depresan1"
"6, 8","",8,"depresan2"
"6, 8","",8,"depresan3"
"6, 8","",8,"depresan4"
"6, 8","",8,"aslep30mn"
"6, 8","",8,"trbfalbck"
"6, 8","",8,"sleepmed"
"6, 8","",9,"health"
"6, 8","",9,"disescn1"
"6, 8","",9,"disescn2"
"6, 8","",9,"disescn3"
"6, 8","",9,"disescn4"
"6, 8","",9,"disescn5"
"6, 8","",9,"disescn6"
"6, 8","",9,"disescn7"
"6, 8","",9,"disescn8"
"6, 8","",9,"disescn9"
"6, 8","",9,"disescn10"
"1, 2, 4, 6, 8","1, 2, 4",9,"cancerty1"
"6, 8","",9,"brokebon1"
"6, 8","",9,"brokebon2"
"6, 8","",9,"hosptstay"
"1, 2, 4, 6, 8","1, 2, 4",9,"hosovrnht"
"6, 8","",9,"knesrgyr"
"6, 8","",9,"hipsrgyr"
"6, 8","",9,"catrsrgyr"
"6, 8","",9,"backsrgyr"
"6, 8","",9,"hartsrgyr"
"6, 8","",9,"fllsinmth"
"6, 8","",9,"worryfall"
"1, 2, 4, 6, 8","1, 2, 4",9,"worrylimt"
"1, 2, 4, 6, 8","1, 2, 4",9,"faleninyr"
"1, 2, 4, 6, 8","1, 2, 4",9,"multifall"
"6, 8","",9,"depresan1"
"6, 8","",9,"depresan2"
"6, 8","",9,"depresan3"
"6, 8","",9,"depresan4"
"6, 8","",9,"aslep30mn"
"6, 8","",9,"trbfalbck"
"6, 8","",9,"sleepmed"
